pokedex_number,name,abilities,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,base_egg_steps,base_happiness,base_total,capture_rate,attack,defense,height_m,hp,sp_attack,sp_defense,speed,type1,type2,weight_kg,generation,is_legendary
81,Magnemite,"['Magnet Pull', 'Sturdy', 'Analytic']",0.5,1,0.5,0.5,0.5,2,2,0.25,1,0.5,4,0.5,0.5,0,0.5,0.5,0.25,1,5120,70,325,190,35,70,0.3,25,95,55,45,electric,steel,6,1,0
82,Magneton,"['Magnet Pull', 'Sturdy', 'Analytic']",0.5,1,0.5,0.5,0.5,2,2,0.25,1,0.5,4,0.5,0.5,0,0.5,0.5,0.25,1,5120,70,465,60,60,95,1,50,120,70,70,electric,steel,60,1,0
83,Farfetch'd,"['Keen Eye', 'Inner Focus', 'Defiant']",0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,5120,70,377,45,90,55,0.8,52,58,62,60,normal,flying,15,1,0
84,Doduo,"['Run Away', 'Early Bird', 'Tangled Feet']",0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,5120,70,310,190,85,45,1.4,35,35,35,75,normal,flying,39.2,1,0
85,Dodrio,"['Run Away', 'Early Bird', 'Tangled Feet']",0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,5120,70,470,45,110,70,1.8,60,60,60,110,normal,flying,85.2,1,0
86,Seel,"['Thick Fat', 'Hydration', 'Ice Body']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,5120,70,325,190,45,55,1.1,65,45,70,45,water,,90,1,0
87,Dewgong,"['Thick Fat', 'Hydration', 'Ice Body']",1,1,1,2,1,2,1,1,1,2,1,0.25,1,1,1,2,1,0.5,5120,70,475,75,70,80,1.7,90,70,95,70,water,ice,120,1,0
88,Grimer,"['Stench', 'Sticky Hold', 'Poison Touch', 'Poison Touch', 'Gluttony', 'Power of Alchemy']",0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,5120,70,325,190,80,50,,80,40,50,25,poison,poison,,1,0
89,Muk,"['Stench', 'Sticky Hold', 'Poison Touch', 'Poison Touch', 'Gluttony', 'Power of Alchemy']",0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,5120,70,500,75,105,75,,105,65,100,50,poison,poison,,1,0
90,Shellder,"['Shell Armor', 'Skill Link', 'Overcoat']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,5120,70,305,190,65,100,0.3,30,45,25,40,water,,4,1,0
91,Cloyster,"['Shell Armor', 'Skill Link', 'Overcoat']",1,1,1,2,1,2,1,1,1,2,1,0.25,1,1,1,2,1,0.5,5120,70,525,60,95,180,1.5,50,85,45,70,water,ice,132.5,1,0
92,Gastly,['Levitate'],0.25,2,1,1,0.5,0,1,1,2,0.5,2,1,0,0.25,2,1,1,1,5120,70,310,190,35,30,1.3,30,100,35,80,ghost,poison,0.1,1,0
93,Haunter,['Levitate'],0.25,2,1,1,0.5,0,1,1,2,0.5,2,1,0,0.25,2,1,1,1,5120,70,405,90,50,45,1.6,45,115,55,95,ghost,poison,0.1,1,0
94,Gengar,['Cursed Body'],0.25,2,1,1,0.5,0,1,1,2,0.5,2,1,0,0.25,2,1,1,1,5120,70,600,45,65,80,1.5,60,170,95,130,ghost,poison,40.5,1,0
95,Onix,"['Rock Head', 'Sturdy', 'Weak Armor']",1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,6400,70,385,45,45,160,8.8,35,30,45,70,rock,ground,210,1,0
96,Drowzee,"['Insomnia', 'Forewarn', 'Inner Focus']",2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,5120,70,328,190,48,45,1,60,43,90,42,psychic,,32.4,1,0
97,Hypno,"['Insomnia', 'Forewarn', 'Inner Focus']",2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,5120,70,483,75,73,70,1.6,85,73,115,67,psychic,,75.6,1,0
98,Krabby,"['Hyper Cutter', 'Shell Armor', 'Sheer Force']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,5120,70,325,225,105,90,0.4,30,25,25,50,water,,6.5,1,0
99,Kingler,"['Hyper Cutter', 'Shell Armor', 'Sheer Force']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,5120,70,475,60,130,115,1.3,55,50,50,75,water,,60,1,0
100,Voltorb,"['Soundproof', 'Static', 'Aftermath']",1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,5120,70,330,190,30,50,0.5,40,55,55,100,electric,,10.4,1,0
101,Electrode,"['Soundproof', 'Static', 'Aftermath']",1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,5120,70,490,60,50,70,1.2,60,80,80,150,electric,,66.6,1,0
102,Exeggcute,"['Chlorophyll', 'Harvest']",4,2,1,0.5,1,0.5,2,2,2,0.5,0.5,2,1,2,0.5,1,1,0.5,5120,70,325,90,40,80,0.4,60,60,45,40,grass,psychic,2.5,1,0
103,Exeggutor,"['Chlorophyll', 'Harvest', 'Frisk', 'Harvest']",4,2,1,0.5,1,0.5,2,2,2,0.5,0.5,2,1,2,0.5,1,1,0.5,5120,70,530,45,105,85,,95,125,75,45,grass,psychic,,1,0
104,Cubone,"['Rock Head', 'Lightningrod', 'Battle Armor']",1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,5120,70,320,190,50,95,0.4,50,40,50,35,ground,,6.5,1,0
105,Marowak,"['Rock Head', 'Lightningrod', 'Battle Armor', 'Cursed Body', 'Lightningrod', 'Rock Head']",1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,5120,70,425,75,80,110,,60,50,80,45,ground,fire,,1,0
106,Hitmonlee,"['Limber', 'Reckless', 'Unburden']",0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,6400,70,455,45,120,53,1.5,50,35,110,87,fighting,,49.8,1,0
107,Hitmonchan,"['Keen Eye', 'Iron Fist', 'Inner Focus']",0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,6400,70,455,45,105,79,1.4,50,35,110,76,fighting,,50.2,1,0
108,Lickitung,"['Own Tempo', 'Oblivious', 'Cloud Nine']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,5120,70,385,45,55,75,1.2,90,60,75,30,normal,,65.5,1,0
109,Koffing,['Levitate'],0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,5120,70,340,190,65,95,0.6,40,60,45,35,poison,,1,1,0
110,Weezing,['Levitate'],0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,5120,70,490,60,90,120,1.2,65,85,70,60,poison,,9.5,1,0
111,Rhyhorn,"['Lightningrod', 'Rock Head', 'Reckless']",1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,5120,70,345,120,85,95,1,80,30,30,25,ground,rock,115,1,0
112,Rhydon,"['Lightningrod', 'Rock Head', 'Reckless']",1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,5120,70,485,60,130,120,1.9,105,45,45,40,ground,rock,120,1,0
113,Chansey,"['Natural Cure', 'Serene Grace', 'Healer']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,10240,140,450,30,5,5,1.1,250,35,105,50,normal,,34.6,1,0
114,Tangela,"['Chlorophyll', 'Leaf Guard', 'Regenerator']",2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,5120,70,435,45,55,115,1,65,100,40,60,grass,,35,1,0
115,Kangaskhan,"['Early Bird', 'Scrappy', 'Inner Focus']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,5120,70,590,45,125,100,2.2,105,60,100,100,normal,,80,1,0
116,Horsea,"['Swift Swim', 'Sniper', 'Damp']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,5120,70,295,225,40,70,0.4,30,70,25,60,water,,8,1,0
117,Seadra,"['Poison Point', 'Sniper', 'Damp']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,5120,70,440,75,65,95,1.2,55,95,45,85,water,,25,1,0
118,Goldeen,"['Swift Swim', 'Water Veil', 'Lightningrod']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,5120,70,320,225,67,60,0.6,45,35,50,63,water,,15,1,0
119,Seaking,"['Swift Swim', 'Water Veil', 'Lightningrod']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,5120,70,450,60,92,65,1.3,80,65,80,68,water,,39,1,0
